date;heure;NO2
;;microg/m3
11/09/2016;1;36
11/09/2016;2;36
11/09/2016;3;22
11/09/2016;4;21
11/09/2016;5;13
11/09/2016;6;17
11/09/2016;7;21
11/09/2016;8;14
11/09/2016;9;16
11/09/2016;10;21
11/09/2016;11;21
11/09/2016;12;24
11/09/2016;13;32
11/09/2016;14;35
11/09/2016;15;47
11/09/2016;16;43
11/09/2016;17;47
11/09/2016;18;40
11/09/2016;19;45
11/09/2016;20;68
11/09/2016;21;62
11/09/2016;22;64
11/09/2016;23;50
11/09/2016;24;48
12/09/2016;1;40
12/09/2016;2;30
12/09/2016;3;28
12/09/2016;4;40
12/09/2016;5;47
12/09/2016;6;64
12/09/2016;7;78
12/09/2016;8;77
12/09/2016;9;84
12/09/2016;10;88
12/09/2016;11;77
12/09/2016;12;73
12/09/2016;13;70
12/09/2016;14;80
12/09/2016;15;77
12/09/2016;16;89
12/09/2016;17;87
12/09/2016;18;121
12/09/2016;19;139
12/09/2016;20;117
12/09/2016;21;111
12/09/2016;22;122
12/09/2016;23;121
12/09/2016;24;100
13/09/2016;1;82
13/09/2016;2;56
13/09/2016;3;49
13/09/2016;4;50
13/09/2016;5;80
13/09/2016;6;92
13/09/2016;7;110
13/09/2016;8;101
13/09/2016;9;77
13/09/2016;10;71
13/09/2016;11;59
13/09/2016;12;n/d
13/09/2016;13;71
13/09/2016;14;51
13/09/2016;15;58
13/09/2016;16;60
13/09/2016;17;74
13/09/2016;18;93
13/09/2016;19;97
13/09/2016;20;88
13/09/2016;21;79
13/09/2016;22;56
13/09/2016;23;44
13/09/2016;24;32
14/09/2016;1;21
14/09/2016;2;20
14/09/2016;3;18
14/09/2016;4;15
14/09/2016;5;38
14/09/2016;6;76
14/09/2016;7;86
14/09/2016;8;80
14/09/2016;9;79
14/09/2016;10;76
14/09/2016;11;75
14/09/2016;12;65
14/09/2016;13;63
14/09/2016;14;75
14/09/2016;15;90
14/09/2016;16;73
14/09/2016;17;93
14/09/2016;18;121
14/09/2016;19;140
14/09/2016;20;139
14/09/2016;21;121
14/09/2016;22;46
14/09/2016;23;38
14/09/2016;24;25
15/09/2016;1;18
15/09/2016;2;16
15/09/2016;3;18
15/09/2016;4;26
15/09/2016;5;45
15/09/2016;6;83
15/09/2016;7;74
15/09/2016;8;81
15/09/2016;9;71
15/09/2016;10;63
15/09/2016;11;60
15/09/2016;12;64
15/09/2016;13;69
15/09/2016;14;61
15/09/2016;15;58
15/09/2016;16;49
15/09/2016;17;56
15/09/2016;18;51
15/09/2016;19;56
15/09/2016;20;43
15/09/2016;21;44
15/09/2016;22;48
15/09/2016;23;45
15/09/2016;24;42
16/09/2016;1;26
16/09/2016;2;23
16/09/2016;3;24
16/09/2016;4;23
16/09/2016;5;26
16/09/2016;6;56
16/09/2016;7;66
16/09/2016;8;66
16/09/2016;9;75
16/09/2016;10;77
16/09/2016;11;51
16/09/2016;12;42
16/09/2016;13;55
16/09/2016;14;53
16/09/2016;15;61
16/09/2016;16;46
16/09/2016;17;51
16/09/2016;18;44
16/09/2016;19;42
16/09/2016;20;34
16/09/2016;21;32
16/09/2016;22;28
16/09/2016;23;25
16/09/2016;24;25
17/09/2016;1;21
17/09/2016;2;21
17/09/2016;3;17
17/09/2016;4;17
17/09/2016;5;18
17/09/2016;6;25
17/09/2016;7;26
17/09/2016;8;24
17/09/2016;9;29
17/09/2016;10;32
17/09/2016;11;33
17/09/2016;12;24
17/09/2016;13;29
17/09/2016;14;28
17/09/2016;15;30
17/09/2016;16;30
17/09/2016;17;31
17/09/2016;18;39
17/09/2016;19;39
17/09/2016;20;34
17/09/2016;21;35
17/09/2016;22;37
17/09/2016;23;37
17/09/2016;24;41
18/09/2016;1;42
18/09/2016;2;41
18/09/2016;3;39
18/09/2016;4;31
18/09/2016;5;28
18/09/2016;6;24
18/09/2016;7;23
18/09/2016;8;28
18/09/2016;9;24
18/09/2016;10;25
18/09/2016;11;26
18/09/2016;12;23
18/09/2016;13;28
18/09/2016;14;27
18/09/2016;15;30
18/09/2016;16;29
18/09/2016;17;36
18/09/2016;18;45
18/09/2016;19;56
18/09/2016;20;38
18/09/2016;21;33
18/09/2016;22;24
18/09/2016;23;19
18/09/2016;24;14
19/09/2016;1;13
19/09/2016;2;13
19/09/2016;3;15
19/09/2016;4;14
19/09/2016;5;23
19/09/2016;6;45
19/09/2016;7;77
19/09/2016;8;75
19/09/2016;9;59
19/09/2016;10;56
19/09/2016;11;60
19/09/2016;12;48
19/09/2016;13;50
19/09/2016;14;42
19/09/2016;15;51
19/09/2016;16;49
19/09/2016;17;49
19/09/2016;18;60
19/09/2016;19;69
19/09/2016;20;67
19/09/2016;21;55
19/09/2016;22;42
19/09/2016;23;38
19/09/2016;24;30
20/09/2016;1;26
20/09/2016;2;22
20/09/2016;3;27
20/09/2016;4;27
20/09/2016;5;48
20/09/2016;6;73
20/09/2016;7;71
20/09/2016;8;67
20/09/2016;9;65
20/09/2016;10;61
20/09/2016;11;59
20/09/2016;12;63
20/09/2016;13;70
20/09/2016;14;65
20/09/2016;15;83
20/09/2016;16;82
20/09/2016;17;87
20/09/2016;18;102
20/09/2016;19;105
20/09/2016;20;77
20/09/2016;21;71
20/09/2016;22;76
20/09/2016;23;102
20/09/2016;24;78
21/09/2016;1;76
21/09/2016;2;74
21/09/2016;3;71
21/09/2016;4;68
21/09/2016;5;64
21/09/2016;6;73
21/09/2016;7;89
21/09/2016;8;108
21/09/2016;9;140
21/09/2016;10;89
21/09/2016;11;73
21/09/2016;12;62
21/09/2016;13;70
21/09/2016;14;66
21/09/2016;15;76
21/09/2016;16;86
21/09/2016;17;93
21/09/2016;18;111
21/09/2016;19;121
21/09/2016;20;122
21/09/2016;21;123
21/09/2016;22;126
21/09/2016;23;113
21/09/2016;24;104
22/09/2016;1;93
22/09/2016;2;80
22/09/2016;3;71
22/09/2016;4;65
22/09/2016;5;62
22/09/2016;6;62
22/09/2016;7;75
22/09/2016;8;97
22/09/2016;9;101
22/09/2016;10;102
22/09/2016;11;83
22/09/2016;12;68
22/09/2016;13;59
22/09/2016;14;74
22/09/2016;15;75
22/09/2016;16;106
22/09/2016;17;106
22/09/2016;18;125
22/09/2016;19;135
22/09/2016;20;111
22/09/2016;21;112
22/09/2016;22;107
22/09/2016;23;103
22/09/2016;24;89
23/09/2016;1;78
23/09/2016;2;75
23/09/2016;3;53
23/09/2016;4;70
23/09/2016;5;61
23/09/2016;6;75
23/09/2016;7;91
23/09/2016;8;85
23/09/2016;9;82
23/09/2016;10;79
23/09/2016;11;69
23/09/2016;12;62
23/09/2016;13;62
23/09/2016;14;80
23/09/2016;15;90
23/09/2016;16;91
23/09/2016;17;103
23/09/2016;18;111
23/09/2016;19;136
23/09/2016;20;131
23/09/2016;21;136
23/09/2016;22;132
23/09/2016;23;123
23/09/2016;24;107
24/09/2016;1;93
24/09/2016;2;85
24/09/2016;3;81
24/09/2016;4;63
24/09/2016;5;62
24/09/2016;6;62
24/09/2016;7;59
24/09/2016;8;56
24/09/2016;9;114
24/09/2016;10;69
24/09/2016;11;55
24/09/2016;12;39
24/09/2016;13;44
24/09/2016;14;42
24/09/2016;15;59
24/09/2016;16;55
24/09/2016;17;60
24/09/2016;18;81
24/09/2016;19;117
24/09/2016;20;96
24/09/2016;21;68
24/09/2016;22;61
24/09/2016;23;70
24/09/2016;24;57
25/09/2016;1;39
25/09/2016;2;44
25/09/2016;3;39
25/09/2016;4;36
25/09/2016;5;31
25/09/2016;6;30
25/09/2016;7;38
25/09/2016;8;40
25/09/2016;9;41
25/09/2016;10;27
25/09/2016;11;34
25/09/2016;12;38
25/09/2016;13;28
25/09/2016;14;15
25/09/2016;15;18
25/09/2016;16;25
25/09/2016;17;48
25/09/2016;18;42
25/09/2016;19;45
25/09/2016;20;53
25/09/2016;21;60
25/09/2016;22;62
25/09/2016;23;56
25/09/2016;24;59
