date;heure;PM10;NO2
;;microg/m3;microg/m3
11/09/2016;1;18;58
11/09/2016;2;22;54
11/09/2016;3;14;39
11/09/2016;4;14;32
11/09/2016;5;10;26
11/09/2016;6;10;28
11/09/2016;7;9;33
11/09/2016;8;8;29
11/09/2016;9;16;34
11/09/2016;10;13;32
11/09/2016;11;18;32
11/09/2016;12;26;52
11/09/2016;13;15;52
11/09/2016;14;10;54
11/09/2016;15;13;54
11/09/2016;16;17;58
11/09/2016;17;10;58
11/09/2016;18;13;65
11/09/2016;19;16;73
11/09/2016;20;21;73
11/09/2016;21;26;67
11/09/2016;22;18;67
11/09/2016;23;18;65
11/09/2016;24;11;54
12/09/2016;1;19;48
12/09/2016;2;17;42
12/09/2016;3;8;41
12/09/2016;4;12;40
12/09/2016;5;15;56
12/09/2016;6;26;70
12/09/2016;7;34;79
12/09/2016;8;42;82
12/09/2016;9;52;112
12/09/2016;10;45;105
12/09/2016;11;29;94
12/09/2016;12;30;91
12/09/2016;13;41;130
12/09/2016;14;34;136
12/09/2016;15;47;143
12/09/2016;16;44;153
12/09/2016;17;37;145
12/09/2016;18;39;167
12/09/2016;19;46;161
12/09/2016;20;46;148
12/09/2016;21;48;147
12/09/2016;22;52;145
12/09/2016;23;36;120
12/09/2016;24;23;92
13/09/2016;1;38;79
13/09/2016;2;28;58
13/09/2016;3;20;56
13/09/2016;4;16;60
13/09/2016;5;33;94
13/09/2016;6;44;127
13/09/2016;7;65;133
13/09/2016;8;59;135
13/09/2016;9;52;118
13/09/2016;10;54;108
13/09/2016;11;47;106
13/09/2016;12;53;130
13/09/2016;13;40;128
13/09/2016;14;45;157
13/09/2016;15;43;134
13/09/2016;16;41;151
13/09/2016;17;32;139
13/09/2016;18;40;128
13/09/2016;19;53;124
13/09/2016;20;39;82
13/09/2016;21;45;76
13/09/2016;22;37;56
13/09/2016;23;34;45
13/09/2016;24;29;34
14/09/2016;1;35;27
14/09/2016;2;34;25
14/09/2016;3;31;25
14/09/2016;4;22;22
14/09/2016;5;18;40
14/09/2016;6;30;82
14/09/2016;7;24;82
14/09/2016;8;28;84
14/09/2016;9;22;70
14/09/2016;10;20;85
14/09/2016;11;23;90
14/09/2016;12;19;95
14/09/2016;13;27;107
14/09/2016;14;30;126
14/09/2016;15;36;122
14/09/2016;16;36;119
14/09/2016;17;28;111
14/09/2016;18;35;140
14/09/2016;19;32;138
14/09/2016;20;33;118
14/09/2016;21;35;101
14/09/2016;22;24;69
14/09/2016;23;7;39
14/09/2016;24;9;26
15/09/2016;1;5;26
15/09/2016;2;3;29
15/09/2016;3;3;25
15/09/2016;4;5;32
15/09/2016;5;10;53
15/09/2016;6;15;90
15/09/2016;7;23;98
15/09/2016;8;23;85
15/09/2016;9;14;88
15/09/2016;10;23;83
15/09/2016;11;26;89
15/09/2016;12;26;82
15/09/2016;13;28;81
15/09/2016;14;22;64
15/09/2016;15;24;67
15/09/2016;16;19;60
15/09/2016;17;20;67
15/09/2016;18;16;74
15/09/2016;19;19;82
15/09/2016;20;14;54
15/09/2016;21;17;52
15/09/2016;22;24;58
15/09/2016;23;19;48
15/09/2016;24;17;41
16/09/2016;1;14;33
16/09/2016;2;8;26
16/09/2016;3;7;24
16/09/2016;4;9;30
16/09/2016;5;14;44
16/09/2016;6;24;66
16/09/2016;7;31;67
16/09/2016;8;39;75
16/09/2016;9;31;78
16/09/2016;10;23;74
16/09/2016;11;24;74
16/09/2016;12;24;52
16/09/2016;13;27;51
16/09/2016;14;18;53
16/09/2016;15;18;63
16/09/2016;16;9;55
16/09/2016;17;5;55
16/09/2016;18;6;59
16/09/2016;19;3;51
16/09/2016;20;8;39
16/09/2016;21;8;33
16/09/2016;22;11;36
16/09/2016;23;13;33
16/09/2016;24;14;29
17/09/2016;1;13;28
17/09/2016;2;12;23
17/09/2016;3;11;22
17/09/2016;4;19;22
17/09/2016;5;12;25
17/09/2016;6;18;33
17/09/2016;7;20;32
17/09/2016;8;19;32
17/09/2016;9;19;33
17/09/2016;10;20;32
17/09/2016;11;17;34
17/09/2016;12;22;27
17/09/2016;13;20;34
17/09/2016;14;16;35
17/09/2016;15;9;42
17/09/2016;16;13;46
17/09/2016;17;8;42
17/09/2016;18;10;45
17/09/2016;19;14;52
17/09/2016;20;14;45
17/09/2016;21;15;44
17/09/2016;22;15;46
17/09/2016;23;18;50
17/09/2016;24;11;48
18/09/2016;1;13;46
18/09/2016;2;12;44
18/09/2016;3;8;34
18/09/2016;4;8;28
18/09/2016;5;7;27
18/09/2016;6;14;25
18/09/2016;7;8;24
18/09/2016;8;7;25
18/09/2016;9;8;25
18/09/2016;10;24;27
18/09/2016;11;29;22
18/09/2016;12;24;24
18/09/2016;13;18;20
18/09/2016;14;19;26
18/09/2016;15;19;25
18/09/2016;16;16;20
18/09/2016;17;14;29
18/09/2016;18;16;36
18/09/2016;19;16;46
18/09/2016;20;22;36
18/09/2016;21;11;33
18/09/2016;22;12;27
18/09/2016;23;15;24
18/09/2016;24;21;22
19/09/2016;1;20;20
19/09/2016;2;14;19
19/09/2016;3;14;19
19/09/2016;4;25;24
19/09/2016;5;26;37
19/09/2016;6;34;56
19/09/2016;7;31;60
19/09/2016;8;38;68
19/09/2016;9;36;58
19/09/2016;10;24;59
19/09/2016;11;23;51
19/09/2016;12;22;58
19/09/2016;13;23;55
19/09/2016;14;21;58
19/09/2016;15;20;55
19/09/2016;16;16;40
19/09/2016;17;14;39
