date;heure;PM10;NO2
;;microg/m3;microg/m3
11/09/2016;1;14;14
11/09/2016;2;11;10
11/09/2016;3;13;10
11/09/2016;4;10;7
11/09/2016;5;6;12
11/09/2016;6;9;6
11/09/2016;7;7;9
11/09/2016;8;6;9
11/09/2016;9;8;7
11/09/2016;10;12;9
11/09/2016;11;15;10
11/09/2016;12;17;10
11/09/2016;13;13;12
11/09/2016;14;13;12
11/09/2016;15;8;13
11/09/2016;16;8;15
11/09/2016;17;7;21
11/09/2016;18;9;25
11/09/2016;19;9;35
11/09/2016;20;9;40
11/09/2016;21;14;52
11/09/2016;22;15;56
11/09/2016;23;18;56
11/09/2016;24;17;48
12/09/2016;1;17;34
12/09/2016;2;11;28
12/09/2016;3;10;27
12/09/2016;4;13;42
12/09/2016;5;15;42
12/09/2016;6;17;52
12/09/2016;7;23;65
12/09/2016;8;34;80
12/09/2016;9;36;75
12/09/2016;10;33;62
12/09/2016;11;28;53
12/09/2016;12;26;36
12/09/2016;13;24;28
12/09/2016;14;26;26
12/09/2016;15;23;40
12/09/2016;16;24;65
12/09/2016;17;23;76
12/09/2016;18;24;78
12/09/2016;19;27;108
12/09/2016;20;34;87
12/09/2016;21;23;73
12/09/2016;22;25;80
12/09/2016;23;32;115
12/09/2016;24;34;111
13/09/2016;1;31;76
13/09/2016;2;22;33
13/09/2016;3;17;24
13/09/2016;4;18;30
13/09/2016;5;21;42
13/09/2016;6;21;76
13/09/2016;7;32;89
13/09/2016;8;36;85
13/09/2016;9;36;82
13/09/2016;10;36;61
13/09/2016;11;37;45
13/09/2016;12;37;34
13/09/2016;13;33;35
13/09/2016;14;27;30
13/09/2016;15;28;28
13/09/2016;16;26;44
13/09/2016;17;28;59
13/09/2016;18;32;68
13/09/2016;19;33;57
13/09/2016;20;36;50
13/09/2016;21;39;43
13/09/2016;22;38;44
13/09/2016;23;36;29
13/09/2016;24;35;21
14/09/2016;1;36;10
14/09/2016;2;32;11
14/09/2016;3;31;8
14/09/2016;4;27;12
14/09/2016;5;15;23
14/09/2016;6;11;48
14/09/2016;7;14;60
14/09/2016;8;15;42
14/09/2016;9;19;29
14/09/2016;10;16;16
14/09/2016;11;13;16
14/09/2016;12;n/d;28
14/09/2016;13;17;27
14/09/2016;14;21;25
14/09/2016;15;26;40
14/09/2016;16;25;63
14/09/2016;17;27;80
14/09/2016;18;26;98
14/09/2016;19;31;66
14/09/2016;20;23;76
14/09/2016;21;26;66
14/09/2016;22;25;27
14/09/2016;23;17;11
14/09/2016;24;11;6
15/09/2016;1;n/d;6
15/09/2016;2;10;9
15/09/2016;3;3;12
15/09/2016;4;8;23
15/09/2016;5;11;50
15/09/2016;6;11;68
15/09/2016;7;18;76
15/09/2016;8;20;71
15/09/2016;9;24;68
15/09/2016;10;19;56
15/09/2016;11;16;34
15/09/2016;12;12;31
15/09/2016;13;12;33
15/09/2016;14;13;30
15/09/2016;15;16;34
15/09/2016;16;16;35
15/09/2016;17;16;37
15/09/2016;18;16;35
15/09/2016;19;15;41
15/09/2016;20;13;32
15/09/2016;21;13;28
15/09/2016;22;13;26
15/09/2016;23;10;22
15/09/2016;24;11;21
16/09/2016;1;13;15
16/09/2016;2;10;13
16/09/2016;3;7;11
16/09/2016;4;9;12
16/09/2016;5;13;23
16/09/2016;6;11;37
16/09/2016;7;15;47
16/09/2016;8;16;45
16/09/2016;9;18;43
16/09/2016;10;14;32
16/09/2016;11;15;20
16/09/2016;12;15;18
16/09/2016;13;24;18
16/09/2016;14;12;20
16/09/2016;15;10;28
16/09/2016;16;4;29
16/09/2016;17;3;35
16/09/2016;18;3;26
16/09/2016;19;5;19
16/09/2016;20;4;16
