date;heure;PM10;NO2
;;microg/m3;microg/m3
11/09/2016;1;21;53
11/09/2016;2;21;34
11/09/2016;3;19;26
11/09/2016;4;19;19
11/09/2016;5;21;20
11/09/2016;6;13;29
11/09/2016;7;17;34
11/09/2016;8;16;38
11/09/2016;9;7;40
11/09/2016;10;11;48
11/09/2016;11;23;40
11/09/2016;12;21;48
11/09/2016;13;19;44
11/09/2016;14;24;45
11/09/2016;15;17;55
11/09/2016;16;14;61
11/09/2016;17;16;71
11/09/2016;18;18;90
11/09/2016;19;19;68
11/09/2016;20;24;76
11/09/2016;21;29;72
11/09/2016;22;29;68
11/09/2016;23;26;65
11/09/2016;24;24;49
12/09/2016;1;23;45
12/09/2016;2;27;37
12/09/2016;3;23;32
12/09/2016;4;19;34
12/09/2016;5;20;59
12/09/2016;6;28;84
12/09/2016;7;29;102
12/09/2016;8;50;94
12/09/2016;9;51;122
12/09/2016;10;48;125
12/09/2016;11;42;122
12/09/2016;12;33;114
12/09/2016;13;29;125
12/09/2016;14;33;130
12/09/2016;15;32;154
12/09/2016;16;39;171
12/09/2016;17;35;190
12/09/2016;18;44;201
12/09/2016;19;48;183
12/09/2016;20;44;160
12/09/2016;21;48;162
12/09/2016;22;43;149
12/09/2016;23;48;126
12/09/2016;24;36;85
13/09/2016;1;28;68
13/09/2016;2;34;52
13/09/2016;3;28;45
13/09/2016;4;25;51
13/09/2016;5;34;89
13/09/2016;6;37;142
13/09/2016;7;52;165
13/09/2016;8;58;171
13/09/2016;9;n/d;n/d
13/09/2016;10;n/d;125
13/09/2016;11;n/d;131
13/09/2016;12;48;152
13/09/2016;13;42;125
13/09/2016;14;37;151
13/09/2016;15;42;166
13/09/2016;16;41;187
13/09/2016;17;47;156
13/09/2016;18;42;213
13/09/2016;19;53;150
13/09/2016;20;53;108
13/09/2016;21;45;100
13/09/2016;22;46;76
13/09/2016;23;44;54
13/09/2016;24;38;42
14/09/2016;1;36;29
14/09/2016;2;36;21
14/09/2016;3;37;20
14/09/2016;4;38;19
14/09/2016;5;27;60
14/09/2016;6;22;103
14/09/2016;7;29;113
14/09/2016;8;46;118
14/09/2016;9;49;114
14/09/2016;10;30;n/d
14/09/2016;11;22;111
14/09/2016;12;22;105
14/09/2016;13;26;110
14/09/2016;14;28;133
14/09/2016;15;35;143
14/09/2016;16;35;157
14/09/2016;17;40;208
14/09/2016;18;41;207
14/09/2016;19;39;191
14/09/2016;20;35;166
14/09/2016;21;47;131
14/09/2016;22;39;72
14/09/2016;23;12;40
14/09/2016;24;13;27
15/09/2016;1;n/d;21
15/09/2016;2;n/d;16
15/09/2016;3;13;19
15/09/2016;4;12;28
15/09/2016;5;12;66
15/09/2016;6;15;103
15/09/2016;7;24;113
15/09/2016;8;31;101
15/09/2016;9;37;107
15/09/2016;10;n/d;n/d
15/09/2016;11;n/d;93
15/09/2016;12;35;107
15/09/2016;13;33;94
15/09/2016;14;34;89
15/09/2016;15;25;121
15/09/2016;16;31;88
15/09/2016;17;24;98
15/09/2016;18;27;107
15/09/2016;19;33;90
15/09/2016;20;18;59
15/09/2016;21;17;58
15/09/2016;22;21;57
15/09/2016;23;18;50
15/09/2016;24;21;43
16/09/2016;1;17;30
16/09/2016;2;15;24
16/09/2016;3;14;17
16/09/2016;4;11;22
16/09/2016;5;19;51
16/09/2016;6;22;73
16/09/2016;7;27;90
16/09/2016;8;33;97
16/09/2016;9;39;96
16/09/2016;10;24;102
16/09/2016;11;20;101
16/09/2016;12;26;94
16/09/2016;13;27;74
16/09/2016;14;19;81
16/09/2016;15;18;111
16/09/2016;16;18;82
16/09/2016;17;16;74
16/09/2016;18;14;69
16/09/2016;19;11;59
16/09/2016;20;6;47
16/09/2016;21;7;41
16/09/2016;22;18;39
16/09/2016;23;18;34
16/09/2016;24;22;31
17/09/2016;1;19;25
17/09/2016;2;14;19
17/09/2016;3;14;16
17/09/2016;4;13;18
17/09/2016;5;19;27
17/09/2016;6;16;30
