date;heure;NO2
;;microg/m3
11/09/2016;1;20
11/09/2016;2;13
11/09/2016;3;10
11/09/2016;4;11
11/09/2016;5;11
11/09/2016;6;12
11/09/2016;7;13
11/09/2016;8;10
11/09/2016;9;12
11/09/2016;10;15
11/09/2016;11;17
11/09/2016;12;20
11/09/2016;13;17
11/09/2016;14;13
11/09/2016;15;16
11/09/2016;16;21
11/09/2016;17;20
11/09/2016;18;24
11/09/2016;19;27
11/09/2016;20;34
11/09/2016;21;41
11/09/2016;22;41
11/09/2016;23;37
11/09/2016;24;43
12/09/2016;1;34
12/09/2016;2;34
12/09/2016;3;31
12/09/2016;4;28
12/09/2016;5;34
12/09/2016;6;41
12/09/2016;7;54
12/09/2016;8;68
12/09/2016;9;65
12/09/2016;10;62
12/09/2016;11;45
12/09/2016;12;21
12/09/2016;13;19
12/09/2016;14;17
12/09/2016;15;19
12/09/2016;16;24
12/09/2016;17;23
12/09/2016;18;36
12/09/2016;19;101
12/09/2016;20;125
12/09/2016;21;126
12/09/2016;22;n/d
12/09/2016;23;n/d
12/09/2016;24;n/d
13/09/2016;1;80
13/09/2016;2;27
13/09/2016;3;17
13/09/2016;4;18
13/09/2016;5;32
13/09/2016;6;64
13/09/2016;7;74
13/09/2016;8;74
13/09/2016;9;65
13/09/2016;10;47
13/09/2016;11;35
13/09/2016;12;28
13/09/2016;13;30
13/09/2016;14;23
13/09/2016;15;25
13/09/2016;16;33
13/09/2016;17;46
13/09/2016;18;52
13/09/2016;19;67
13/09/2016;20;56
13/09/2016;21;52
13/09/2016;22;31
13/09/2016;23;22
13/09/2016;24;17
14/09/2016;1;9
14/09/2016;2;11
14/09/2016;3;11
14/09/2016;4;9
14/09/2016;5;16
14/09/2016;6;35
14/09/2016;7;51
14/09/2016;8;42
14/09/2016;9;34
14/09/2016;10;35
14/09/2016;11;36
14/09/2016;12;25
14/09/2016;13;19
14/09/2016;14;22
14/09/2016;15;18
14/09/2016;16;24
14/09/2016;17;24
14/09/2016;18;50
14/09/2016;19;81
14/09/2016;20;125
14/09/2016;21;103
14/09/2016;22;33
14/09/2016;23;12
14/09/2016;24;6
15/09/2016;1;10
15/09/2016;2;10
15/09/2016;3;10
15/09/2016;4;16
15/09/2016;5;30
15/09/2016;6;49
15/09/2016;7;53
15/09/2016;8;51
15/09/2016;9;50
15/09/2016;10;37
15/09/2016;11;29
15/09/2016;12;25
15/09/2016;13;19
15/09/2016;14;19
15/09/2016;15;21
15/09/2016;16;26
15/09/2016;17;22
15/09/2016;18;33
15/09/2016;19;36
15/09/2016;20;31
15/09/2016;21;29
15/09/2016;22;30
15/09/2016;23;23
15/09/2016;24;22
16/09/2016;1;15
16/09/2016;2;12
16/09/2016;3;19
16/09/2016;4;23
16/09/2016;5;28
16/09/2016;6;39
16/09/2016;7;44
16/09/2016;8;39
16/09/2016;9;44
16/09/2016;10;38
16/09/2016;11;21
16/09/2016;12;15
16/09/2016;13;20
16/09/2016;14;19
16/09/2016;15;19
16/09/2016;16;29
16/09/2016;17;30
16/09/2016;18;38
16/09/2016;19;33
16/09/2016;20;28
16/09/2016;21;32
16/09/2016;22;27
16/09/2016;23;23
