date;heure;SO2;NO2;O3
;;microg/m3;microg/m3;microg/m3
11/09/2016;1;0;3;62
11/09/2016;2;1;6;56
11/09/2016;3;2;5;53
11/09/2016;4;2;4;50
11/09/2016;5;2;4;46
11/09/2016;6;2;4;43
11/09/2016;7;2;4;42
11/09/2016;8;2;8;33
11/09/2016;9;2;9;31
11/09/2016;10;2;8;30
11/09/2016;11;2;8;34
11/09/2016;12;2;15;33
11/09/2016;13;2;14;41
11/09/2016;14;3;10;51
11/09/2016;15;3;10;52
11/09/2016;16;3;9;57
11/09/2016;17;3;9;59
11/09/2016;18;3;13;50
11/09/2016;19;2;14;54
11/09/2016;20;2;17;48
11/09/2016;21;2;13;53
11/09/2016;22;2;6;61
11/09/2016;23;2;3;62
11/09/2016;24;2;3;64
12/09/2016;1;0;2;64
12/09/2016;2;0;1;66
12/09/2016;3;0;1;72
12/09/2016;4;0;1;80
12/09/2016;5;0;2;79
12/09/2016;6;0;2;81
12/09/2016;7;0;1;81
12/09/2016;8;0;3;82
12/09/2016;9;0;10;74
12/09/2016;10;0;34;52
12/09/2016;11;1;31;62
12/09/2016;12;1;16;93
12/09/2016;13;2;14;114
12/09/2016;14;3;12;126
12/09/2016;15;1;11;124
12/09/2016;16;1;14;119
12/09/2016;17;2;11;124
12/09/2016;18;1;18;113
12/09/2016;19;2;19;102
12/09/2016;20;3;5;103
12/09/2016;21;3;8;101
12/09/2016;22;2;11;101
12/09/2016;23;0;4;104
12/09/2016;24;0;9;92
13/09/2016;1;0;10;96
13/09/2016;2;0;4;123
13/09/2016;3;1;4;132
13/09/2016;4;2;4;119
13/09/2016;5;2;5;105
13/09/2016;6;2;6;94
13/09/2016;7;2;10;86
13/09/2016;8;1;38;56
13/09/2016;9;1;60;37
13/09/2016;10;1;42;58
13/09/2016;11;1;27;81
13/09/2016;12;1;19;92
13/09/2016;13;1;14;107
13/09/2016;14;1;11;126
13/09/2016;15;1;11;120
13/09/2016;16;2;11;117
13/09/2016;17;1;21;99
13/09/2016;18;1;27;92
13/09/2016;19;1;17;103
13/09/2016;20;1;11;118
13/09/2016;21;1;7;120
13/09/2016;22;1;9;112
13/09/2016;23;1;8;108
13/09/2016;24;1;7;109
14/09/2016;1;2;5;101
14/09/2016;2;2;8;83
14/09/2016;3;2;7;78
14/09/2016;4;1;6;81
14/09/2016;5;1;7;82
14/09/2016;6;1;10;80
14/09/2016;7;1;17;71
14/09/2016;8;2;21;64
14/09/2016;9;2;17;70
14/09/2016;10;2;14;77
14/09/2016;11;2;17;76
14/09/2016;12;2;18;81
14/09/2016;13;2;16;92
14/09/2016;14;3;16;102
14/09/2016;15;4;13;118
14/09/2016;16;5;22;107
14/09/2016;17;4;17;119
14/09/2016;18;5;26;106
14/09/2016;19;4;11;109
14/09/2016;20;3;15;86
14/09/2016;21;3;29;75
14/09/2016;22;3;17;81
14/09/2016;23;1;6;87
14/09/2016;24;1;2;92
15/09/2016;1;1;2;93
15/09/2016;2;1;3;89
15/09/2016;3;1;5;85
15/09/2016;4;1;3;90
15/09/2016;5;1;5;80
15/09/2016;6;1;41;39
15/09/2016;7;1;45;43
15/09/2016;8;1;38;45
15/09/2016;9;1;31;42
15/09/2016;10;1;25;43
15/09/2016;11;1;19;46
15/09/2016;12;1;19;46
15/09/2016;13;1;12;62
15/09/2016;14;1;11;64
15/09/2016;15;1;10;60
15/09/2016;16;1;12;55
15/09/2016;17;1;9;54
15/09/2016;18;1;13;50
15/09/2016;19;1;15;47
15/09/2016;20;1;13;45
15/09/2016;21;1;8;54
15/09/2016;22;1;4;61
15/09/2016;23;1;8;53
15/09/2016;24;0;4;61
16/09/2016;1;0;4;60
16/09/2016;2;0;3;58
16/09/2016;3;0;4;64
16/09/2016;4;0;4;60
16/09/2016;5;0;6;55
16/09/2016;6;0;21;36
16/09/2016;7;0;27;27
16/09/2016;8;0;28;27
16/09/2016;9;0;26;33
16/09/2016;10;0;15;51
16/09/2016;11;0;8;60
16/09/2016;12;0;6;68
16/09/2016;13;0;7;71
16/09/2016;14;0;8;70
16/09/2016;15;0;8;67
16/09/2016;16;0;10;55
16/09/2016;17;0;14;39
16/09/2016;18;3;18;32
16/09/2016;19;6;12;39
16/09/2016;20;6;11;32
16/09/2016;21;6;12;28
16/09/2016;22;6;12;24
16/09/2016;23;5;12;23
16/09/2016;24;5;10;26
17/09/2016;1;0;9;26
17/09/2016;2;0;10;25
17/09/2016;3;0;10;24
17/09/2016;4;0;10;24
17/09/2016;5;0;10;24
17/09/2016;6;0;10;22
17/09/2016;7;0;10;22
17/09/2016;8;0;10;22
17/09/2016;9;0;12;21
17/09/2016;10;1;11;25
17/09/2016;11;1;10;22
17/09/2016;12;1;12;22
17/09/2016;13;2;9;34
17/09/2016;14;2;8;39
17/09/2016;15;1;8;44
17/09/2016;16;2;9;34
17/09/2016;17;2;11;30
17/09/2016;18;1;13;25
17/09/2016;19;1;15;23
17/09/2016;20;1;13;23
17/09/2016;21;0;20;16
17/09/2016;22;0;19;14
17/09/2016;23;1;19;10
17/09/2016;24;2;29;3
18/09/2016;1;0;33;0
18/09/2016;2;0;32;0
18/09/2016;3;0;18;12
18/09/2016;4;0;13;21
18/09/2016;5;0;7;42
18/09/2016;6;0;10;39
18/09/2016;7;0;6;38
18/09/2016;8;0;6;41
18/09/2016;9;n/d;8;27
18/09/2016;10;n/d;8;31
18/09/2016;11;n/d;11;38
18/09/2016;12;n/d;10;49
18/09/2016;13;n/d;7;64
18/09/2016;14;n/d;9;70
18/09/2016;15;n/d;10;71
18/09/2016;16;n/d;7;80
18/09/2016;17;n/d;9;74
18/09/2016;18;n/d;9;69
18/09/2016;19;n/d;9;64
18/09/2016;20;n/d;7;68
18/09/2016;21;n/d;6;68
18/09/2016;22;n/d;4;71
18/09/2016;23;n/d;4;68
18/09/2016;24;n/d;4;68
19/09/2016;1;0;4;65
19/09/2016;2;0;4;59
19/09/2016;3;0;5;59
19/09/2016;4;0;6;55
19/09/2016;5;0;9;51
19/09/2016;6;0;13;43
19/09/2016;7;0;14;39
19/09/2016;8;0;24;35
19/09/2016;9;0;26;32
19/09/2016;10;0;22;41
19/09/2016;11;0;24;36
19/09/2016;12;0;23;40
19/09/2016;13;0;19;48
19/09/2016;14;0;17;50
19/09/2016;15;0;25;44
19/09/2016;16;0;21;51
19/09/2016;17;0;18;52
19/09/2016;18;0;25;47
19/09/2016;19;0;15;55
19/09/2016;20;0;11;57
19/09/2016;21;0;9;65
19/09/2016;22;0;9;60
19/09/2016;23;0;15;50
19/09/2016;24;0;14;51
20/09/2016;1;1;12;47
20/09/2016;2;1;15;40
20/09/2016;3;1;10;46
20/09/2016;4;1;8;61
20/09/2016;5;1;10;58
20/09/2016;6;1;28;30
20/09/2016;7;1;39;14
20/09/2016;8;1;36;13
20/09/2016;9;1;45;7
20/09/2016;10;1;34;19
20/09/2016;11;1;24;33
20/09/2016;12;1;22;43
20/09/2016;13;1;25;43
20/09/2016;14;1;24;40
20/09/2016;15;1;26;46
20/09/2016;16;1;22;53
20/09/2016;17;1;26;51
20/09/2016;18;1;35;43
20/09/2016;19;1;43;46
20/09/2016;20;1;28;56
20/09/2016;21;1;18;56
20/09/2016;22;1;6;75
20/09/2016;23;1;7;71
20/09/2016;24;1;6;75
21/09/2016;1;2;12;64
21/09/2016;2;1;33;39
21/09/2016;3;1;37;33
21/09/2016;4;1;29;41
21/09/2016;5;1;16;49
21/09/2016;6;1;17;57
21/09/2016;7;2;13;58
21/09/2016;8;2;36;41
21/09/2016;9;2;88;6
21/09/2016;10;2;65;18
21/09/2016;11;2;49;29
21/09/2016;12;2;48;32
21/09/2016;13;2;43;27
21/09/2016;14;2;41;35
21/09/2016;15;2;34;49
21/09/2016;16;1;33;61
21/09/2016;17;1;34;64
21/09/2016;18;1;25;72
21/09/2016;19;1;24;78
21/09/2016;20;1;21;72
21/09/2016;21;1;15;82
21/09/2016;22;1;19;75
21/09/2016;23;1;53;50
21/09/2016;24;1;11;83
22/09/2016;1;1;5;89
22/09/2016;2;1;4;92
22/09/2016;3;1;4;96
22/09/2016;4;1;4;95
22/09/2016;5;1;4;96
22/09/2016;6;1;4;98
22/09/2016;7;0;4;97
22/09/2016;8;0;4;97
22/09/2016;9;1;18;81
